star_name,gaiadr3,logRHK,S_Value,vsini,age,e_vsini
TIC 250419029,2506906787870475904,-4.99,0.16,2.0,5.0,0.5
TIC 97404060,77161217776670208,-4.74,0.23,1.1,6.5,0.5
TIC 379603165,520377795206114688,-4.7,0.33,1.8,7.9,0.5
TIC 292851928,351537889154226816,-5.01,0.16,1.3,4.9,0.5
TIC 72748794,5117974602912370432,-4.82,0.2,0.1,9.0,0.5
TIC 286176467,131483276941461888,-5.08,0.15,3.8,5.7,0.5
TIC 251109533,2495335115182966016,-5.05,0.15,2.4,7.2,0.5
TIC 35722731,2495442626804315392,-4.45,0.59,3.2,5.5,0.5
TIC 73626552,132922438878995968,-4.88,0.18,0.1,9.1,0.5
TIC 298896144,2132788541955849984,-4.92,0.17,1.7,,0.5
TIC 302158903,438829629114680704,-5.12,0.14,8.0,2.4,0.5
TIC 436862182,114575472461716864,-4.82,0.23,1.0,10.4,0.5
TIC 436933294,116037204451525376,-5.08,0.17,1.7,12.8,0.5
TIC 88348777,5076269164798852864,-4.7,0.37,2.6,,0.5
TIC 387609654,8479094371605632,-4.34,0.71,3.3,7.0,0.5
TIC 34691643,115311458058061440,-4.91,0.18,0.1,2.6,0.5
TIC 439911365,5181087291900789888,-4.9,0.18,0.1,9.5,0.5
TIC 441501782,5155981730587168384,-4.98,0.16,1.4,8.0,0.5
TIC 186807955,138972467251590656,-5.03,0.16,1.9,5.6,0.5
TIC 116988032,436648129327098496,-5.04,0.15,3.4,4.5,0.5
TIC 49845357,3265335443260522112,-5.11,0.14,8.3,3.0,0.5
TIC 365441779,14163878724940672,-4.94,0.19,1.6,7.5,0.5
TIC 279069526,3261878613062758144,-4.82,0.2,1.1,4.3,0.5
TIC 259254485,435646474233078144,-4.89,0.17,16.8,1.9,0.5
TIC 9967949,5168359139139252352,-5.15,0.14,0.1,6.4,0.5
TIC 118572803,5164707970261890560,-4.53,0.43,2.2,,0.5
TIC 435294041,56413781254974080,-5.17,0.14,0.1,10.7,0.5
TIC 301481148,3263319007654791552,-4.99,0.17,1.8,10.7,0.5
TIC 38511251,5164120762333028736,-5.19,0.14,0.1,6.7,0.5
TIC 201242999,231113736385994624,-4.97,0.18,0.1,13.6,0.5
TIC 456863621,43802039287826432,-5.06,0.15,2.6,5.8,0.5
TIC 385590511,66892264508548864,-5.0,0.16,2.9,4.2,0.5
TIC 242942985,43499295632961152,-4.86,0.19,0.1,4.9,0.5
TIC 393194318,474648763011926272,-5.02,0.17,0.3,13.1,0.5
TIC 89320803,5082840945798327936,-5.08,0.15,0.1,9.9,0.5
TIC 15736408,53112944270520832,-4.59,0.26,3.1,1.7,0.5
TIC 44791577,4889216948147099520,-4.9,0.2,1.9,10.1,0.5
TIC 67772871,3195919528989223040,-5.01,0.17,0.5,12.8,0.5
TIC 27936849,257134507991047936,-5.01,0.16,2.9,4.0,0.5
TIC 117979951,2980492387558410112,-4.59,0.26,3.0,1.6,0.5
TIC 399665349,3288921720025503360,-4.89,0.17,16.4,1.2,0.5
TIC 96211765,174156255225869440,-5.07,0.15,1.2,6.3,0.5
TIC 21240825,254503754623418240,-4.9,0.17,0.1,8.9,0.5
TIC 682491,4879850208590379904,-4.69,0.52,2.3,7.9,0.5
TIC 262501618,3239548665775613056,-4.84,0.18,0.1,1.2,0.5
TIC 389136129,3392510077730740480,-5.07,0.15,2.4,7.5,0.5
TIC 27136704,3407611182744289152,-5.05,0.15,1.9,9.1,0.5
TIC 284794221,3290765291786058496,-5.1,0.14,1.4,8.6,0.5
TIC 69528586,3421680597955802624,-5.06,0.15,1.1,3.5,0.5
TIC 262300150,3238810137558836352,-4.89,0.17,1.3,1.4,0.5
TIC 284907742,3241295308714904960,-4.97,0.17,2.5,5.8,0.5
TIC 408190069,2981583790287411200,-5.08,0.14,2.7,4.7,0.5
TIC 409104974,188771135583573504,-5.09,0.15,0.1,4.8,0.5
TIC 449310490,3234481566438473600,-5.05,0.15,2.9,3.5,0.5
TIC 320790248,281179246740400384,-5.06,0.15,2.0,7.8,0.5
TIC 302762322,3341047161115131904,-4.38,0.5,3.8,4.7,0.5
