,star_name,TSS_tier,ra,dec,Teff,sy_dist,sy_vmag,Age,vsini_adopt,S_index_adopt,RHK_adopt,RHK_calculated_marvin23,prot_adopt,r_prot_adopt,act_cycle_adopt,phot_jitter_adopt
7408,TIC 342194997,3,204.02717386147,-71.73749879247,4574.27,45.73867034912109,10.41,11.49,,,,,,nan,,
7409,TIC 219432168,3,204.04354685926,77.02288731784,3784.0,46.72688293457031,11.833,,,,,,10.05933,fetherolf24,,276.639603
7410,TIC 243294999,3,204.09594552742,-45.93783604591,3489.5,28.213706970214844,11.93,,,,,,,nan,,
7411,TIC 1048330135,3,204.09662626976,-45.93784105245,3449.53,28.142446517944336,12.541,,,,,,,nan,,
7412,TIC 165769727,3,204.1053154056,-37.18626208499,4102.99,32.39793395996094,10.62,,,,,,7.8037,fetherolf24,,228.335091
7413,TIC 219432404,3,204.10925424024,75.54203467534,4060.0,43.27761459350586,10.97,,,,,,,nan,,
7414,TIC 207388916,3,204.2301171878,22.96692354131,3478.0,23.485387802124023,12.716,,,,,,,nan,,
7415,TIC 379078383,3,204.23618541653,7.76708218319,4441.9,31.370346069335938,10.0,,,,,,,nan,,
7416,TIC 318163669,3,204.301736,-61.691844,6261.0,35.486160397445,5.63,2.98,5.0,,,,4.242915,fetherolf24,,138.21978
7417,TIC 379078129,3,204.32935569677,9.14005698879,4969.55,33.83384704589844,9.04,6.373,,,,,,nan,,
7418,TIC 73494569,3,204.36986918755,35.71776243922,3959.0,10.938860893249512,9.06,,,1.43790909091,,-4.327563537401583,5.335964,fetherolf24,,437.439292
7419,TIC 107289260,3,204.44946664019,-35.06434352132,,34.03746795654297,,,,,,,,nan,,
7420,TIC 107289258,3,204.45045933279,-35.06484130416,5865.64,34.054931640625,7.39,8.661,6.0,0.317,,-4.208095537905323,,nan,,
7421,TIC 107288978,3,204.45452423141,-35.44889091054,5049.0,47.802127838134766,9.33,,,0.2015,-4.9964,-4.753978520907725,8.304791,fetherolf24,,108.901073
7422,TIC 1001170427,3,204.46287805161,48.13848898074,3862.62,21.16758155822754,11.24,,,,,,6.792081,fetherolf24,,1707.104432
7423,TIC 332278062,3,204.46342790149,48.13806829183,3942.0,21.16988945007324,9.732,,,,,,,nan,,
7424,TIC 22848433,3,204.4884056034,39.17503178164,5131.9,45.26120376586914,9.112,12.019,1.0,,,,,nan,,
7425,TIC 207391891,3,204.50196372207,19.1480829,5500.0,48.41325378417969,8.836,,3.0,,,,,nan,,
7426,TIC 22848435,3,204.50814090869,39.17808342709,5636.9,45.52956008911133,7.91,8.9,3.0,,,,,nan,,
7427,TIC 1000795915,3,204.50854507871,39.17843560924,5425.04,45.16228485107422,10.42,,,,,,,nan,,
7428,TIC 203361362,3,204.55688103873,-23.6889946372,5744.0,46.60979461669922,8.22,11.286,3.0,,,,5.086652,fetherolf24,,129.435862
7429,TIC 49256147,3,204.60668696095,-25.27965584242,3394.0,30.94966506958008,12.604,,,,,,2.397873,fetherolf24,,11362.568117
7430,TIC 282812620,3,204.65439168503,25.83043945316,3425.0,22.795352935791016,12.565,,,,,,,nan,,
7431,TIC 175402124,3,204.72265428364,-2.26313033558,3522.0,18.043983459472656,12.12,,,,,,,nan,,
7432,TIC 708973,3,204.74453262046,-6.23679749638,3874.0,24.166732788085938,10.724,,,,,,,nan,,
7433,TIC 22859629,3,204.75743693005,35.97171581548,4359.4,42.61540603637695,10.5,,,,,,10.021951,fetherolf24,,310.346042
7434,TIC 342721199,3,204.8344774597,-67.67090435787,5915.0,33.67457962036133,6.97,6.346,3.0,0.163,,-4.584461476921204,,nan,,
7435,TIC 241383994,3,204.84255479712,-48.86991368082,4310.5,48.68268966674805,11.254,0.422,,,,,,nan,,
7436,TIC 458452740,3,204.85042696608,46.18649011,3699.0,13.363640785217283,10.24,,,,,,,nan,,
7437,TIC 175406480,3,204.90665824273,-1.59520219498,3819.0,34.41492462158203,11.696,,,,,,,nan,,
7438,GAIA DR3 6291879874618504960,3,204.930275,-20.490173,4058.0,46.13226318359375,11.871,0.349,,,,,9.041226,fetherolf24,,551.935938
7439,TIC 165895758,3,204.93339018601,-37.19095079429,5439.0,44.86474990844727,8.43,,1.0,,,,4.611683,fetherolf24,,81.378753
7440,TIC 458453288,3,205.01583751208,45.92015010345,3893.0,45.950340270996094,11.941,,,,,,8.5726,fetherolf24,,937562.0069258802
