hpic_name,TICID,period_rot(d),period_rot_err(dd),amp_median(%)
TIC 396734013,396734013,10.3342,0.435,0.2237
TIC 382633906,382633906,13.3983,0.421,0.3001
TIC 287267876,287267876,14.5677,0.6055,0.121
TIC 353736241,353736241,17.9468,0.5132,0.1139
TIC 283354191,283354191,0.5242,0.0014,1.7906
TIC 114321412,114321412,0.8928,0.006,0.0512
TIC 423570424,423570424,2.1003,0.02,1.1219
TIC 357500019,357500019,10.8268,0.4769,0.368
TIC 235928353,235928353,15.9598,0.463,0.2729
TIC 334810406,334810406,2.0607,0.0122,2.0151
TIC 316551983,316551983,6.5404,0.0885,1.4842
TIC 256746748,256746748,4.4189,0.0638,0.2468
TIC 351241355,351241355,7.976,0.3689,0.3184
TIC 298262684,298262684,7.4142,0.2274,0.3598
TIC 283733325,283733325,8.357,0.1653,0.611
TIC 307085108,307085108,14.3378,0.344,0.3961
TIC 434119451,434119451,20.95,2.4847,0.3052
TIC 288515156,288515156,17.2793,0.6514,0.1352
TIC 441811910,441811910,5.7728,0.0358,0.5559
TIC 137417295,137417295,10.3077,0.2738,0.2531
TIC 290468468,290468468,10.2976,0.6096,0.2209
TIC 112322183,112322183,15.5975,1.3843,0.3202
TIC 304217972,304217972,8.4337,0.146,0.5073
TIC 149933273,149933273,12.0,0.2415,0.1505
TIC 149174494,149174494,15.8348,0.4573,0.2306
TIC 107289258,107289258,9.7428,0.387,0.2325
TIC 307715447,307715447,19.6149,1.0069,0.1559
TIC 320959269,320959269,1.8019,0.0123,1.9482
TIC 15489536,15489536,9.5714,0.5278,0.093
TIC 123436163,123436163,14.3212,0.8267,0.5098
TIC 154486130,154486130,17.3439,0.8548,0.1863
TIC 362220017,362220017,7.535,0.0649,0.4037
TIC 115017960,115017960,6.1014,0.2184,0.1113
TIC 267089153,267089153,20.3819,1.6757,0.1329
TIC 201254618,201254618,10.2318,0.3487,0.2408
TIC 17408570,17408570,0.743,0.0022,0.9977
TIC 368404959,368404959,3.3455,0.0342,0.2263
TIC 179040880,179040880,16.9764,0.5251,0.1452
TIC 219859634,219859634,21.2173,1.043,0.1868
TIC 34986740,34986740,16.3888,1.0814,0.177
TIC 348839788,348839788,13.884,0.3916,0.1771
TIC 188578639,188578639,16.9348,1.6293,0.1284
TIC 68582245,68582245,9.7568,0.3204,0.6797
TIC 73327404,73327404,10.8126,0.4754,0.3973
TIC 235058181,235058181,2.4298,0.0124,1.0159
TIC 188726690,188726690,19.7967,1.5707,0.1047
TIC 270429868,270429868,19.475,1.0903,0.0837
TIC 298647682,298647682,10.0568,0.1417,0.2757
TIC 233193893,233193893,9.4003,0.5094,0.0841
TIC 355766445,355766445,3.6955,0.0338,2.4133
TIC 82360422,82360422,8.627,0.3083,0.2926
TIC 406095880,406095880,0.9419,0.0038,1.3872
TIC 274338150,274338150,20.0649,1.6128,0.1651
TIC 168848193,168848193,7.9784,0.2134,0.3927
TIC 49906916,49906916,1.0239,0.0054,0.3317
TIC 139649630,139649630,10.1292,0.5901,0.1984
TIC 89255038,89255038,10.5322,0.6372,0.1507
TIC 232602607,232602607,11.4594,0.2022,0.2229
TIC 261137158,261137158,0.1656,0.0004,0.0703
TIC 157760804,157760804,4.0143,0.0343,0.3891
TIC 471000657,471000657,1.334,0.0087,1.1622
TIC 66517256,66517256,11.0845,0.7048,0.3074
TIC 404156386,404156386,2.3392,0.02,1.5841
TIC 431107890,431107890,2.4189,0.0185,1.8477
TIC 290716990,290716990,4.592,0.0563,1.0298
TIC 157111856,157111856,9.6592,0.5374,0.5712
TIC 417757111,417757111,3.3486,0.0307,0.2065
TIC 59017434,59017434,9.393,0.3597,0.1284
TIC 397188848,397188848,9.3299,0.145,0.6886
TIC 224297979,224297979,20.3213,1.6614,0.1527
TIC 105506140,105506140,17.1475,1.6701,0.1413
TIC 446131714,446131714,19.3332,2.1186,0.0943
TIC 283889641,283889641,5.9983,0.2112,0.3023
