,star_name,gaiadr3,HD,logRHK
373,TIC 842453185,3887696579775197184,89906,
374,TIC 193032655,5461620846141552640,90156,-4.937
375,TIC 36841797,3767851972716355584,,
376,TIC 460172511,5252255484155446272,307727,-4.720
377,TIC 392795974,3862361392330264576,90663,-4.910
378,TIC 447283466,5357886734438478848,90884,-4.400
379,TIC 423437103,5475922468760821760,,
380,TIC 416519879,1047559604579391872,90875,
381,TIC 447823435,5357075947709011968,91324,-4.710
382,TIC 115858251,830239138487431808,,
383,TIC 297961458,854769861377131520,,
384,TIC 154717941,1147862174868109184,90343,
385,TIC 188043641,5455707157211785216,92945,-4.325
386,TIC 311659492,832417236660307072,92786,-4.930
387,TIC 54237857,5450573881018550272,93083,-5.020
388,TIC 188087957,5470514142863169536,93380,-4.600
389,TIC 142520224,1128210122507896832,,
390,TIC 365006720,3865002247461685248,94765,-4.440
391,TIC 318339281,831846315248225024,,
392,TIC 353970454,777005625896147072,,
393,TIC 53178075,3789271459953459200,96064,-4.260
394,TIC 23270430,5452492082132836352,96700,-4.923
395,TIC 9377536,764805169996366720,96612,-4.730
396,TIC 77109256,3969552574763799552,96692,-4.940
397,TIC 301560849,3811594088617869312,96937,
398,TIC 9001920,732857558276385664,97101,-4.470
399,TIC 143047975,3566643651231641600,97214,-4.880
400,TIC 20416870,3532823773073745408,97343,-4.987
401,TIC 85335212,761919883981626752,97334,-4.388
402,TIC 425282449,3815264842546968064,97503,
403,TIC 82308728,3997075206232885760,97658,-4.935
404,TIC 901736448,3538007420641336320,97782,-4.880
405,TIC 142591775,1078773262224027648,97584,
406,TIC 151956235,5395795730687102976,97998,-4.830
407,TIC 23556171,3482765551281619456,,
408,TIC 347626733,3561574971346845696,,
409,TIC 38086286,3786697056556771328,98281,-4.940
410,TIC 406781410,788340461203094912,,
411,TIC 17994042,770435567178890624,,
412,TIC 315568090,5237611398000523264,99453,-4.710
413,TIC 363549733,3812355328621651456,99491,-4.840
414,TIC 363549734,3812355294262255104,99492,
415,TIC 363570744,3812756203689026048,,
416,TIC 388799527,3910661735547769344,,
417,TIC 451798625,5342789374661207040,304391,-4.450
418,TIC 100010286,863776987616459392,,
419,TIC 219030952,3966121308211395072,100180,-4.913
420,TIC 57611256,3478127463341507072,100623,-4.867
421,TIC 10113178,767326526253334400,,
422,TIC 393883284,773861400598512512,101177,-4.945
423,TIC 393884636,772395274857111552,101206,
424,TIC 142863308,1057879895596316416,,
425,TIC 397362481,5378886891123024896,101581,-4.700
426,TIC 267399515,5341787994441794560,101930,-5.040
427,TIC 32636530,3480395137355028480,102071,-4.780
428,TIC 5078530,4021079911593673728,,
429,GAIA DR3 773669677553606528,773669677553606528,,
430,TIC 323485429,5332606522595645440,,
431,TIC 397024052,3799626935341796352,102195,-4.430
432,TIC 459800214,791297254127958784,,
433,TIC 144160090,3585636855608873984,102392,-4.750
434,TIC 157324520,3480332916165100032,102438,-4.890
435,TIC 272575844,3975078892003894272,103072,-4.930
436,TIC 138894223,4008018301867182080,,
437,TIC 403799988,3487784718782929920,103836,-4.600
438,TIC 202364222,3975266461816069120,103847,
439,TIC 403802333,3487062064765702144,103932,-4.810
440,TIC 428657118,3492633633781166080,103949,-4.790
441,TIC 428673146,3494677900774838272,104067,-4.690
442,TIC 398269300,3518916943846357504,105065,-4.280
443,TIC 56758194,3698723962986793472,,
444,TIC 21623610,1536064958579187712,105631,-4.640
445,TIC 258322219,6143175840408947712,105671,-4.590
446,TIC 224288693,1575920330941197312,238087,
447,TIC 224289449,1573086442800134144,238090,
448,TIC 99143516,3488911718201071616,106453,-4.545
449,TIC 53580461,1545795533411707904,,
450,TIC 72408098,3946438125929224192,107146,-4.340
451,TIC 328860504,4010201828880794112,,
452,TIC 154220180,1572081660971767552,,
453,TIC 423529214,3515021992624320000,107388,-4.550
454,TIC 284567512,1537992501630402048,107596,
455,TIC 135162188,6149747002930436096,107576,-4.760
456,TIC 377227654,3900151160301345280,107705,-4.815
457,TIC 135165545,6150200345317454848,107692,-4.730
458,TIC 373692318,4015233503327508480,108153,
459,TIC 954240515,4008897773729524224,108421,
460,TIC 368438895,3579784327012046336,108510,-4.775
461,TIC 297025496,3520548825260557312,108564,-4.980
462,TIC 22481324,3517119173615245824,108581,-4.670
463,TIC 952421350,3528362367203258368,108799,-4.400
464,TIC 141249230,1569335115284976128,108954,-4.810
465,TIC 446170645,3949377704625720320,108984,-4.770
466,TIC 326538408,5856411869205581824,109200,-4.957
467,TIC 72814920,6133033601555979264,109409,-5.085
468,TIC 131001807,6158160019228728320,109524,-4.540
469,TIC 224305606,1568610571482444032,109647,-4.450
470,TIC 131117847,6159861925788911616,,
471,TIC 460814512,3934198156329808896,110315,-4.910
472,TIC 99381773,1571411233756646656,110463,-4.450
473,TIC 144511638,6153706477443518464,110619,-4.815
474,TIC 389853353,1521686782461765888,110897,-4.845
475,TIC 419575434,6060965699625586688,110810,-4.400
476,TIC 165732001,1513382308576146944,,
477,TIC 9440488,3498481592531208704,,
478,TIC 9440485,3498481519515679744,111261,-4.650
479,TIC 329649885,5855730584310531072,111232,-5.000
480,TIC 53280272,3689602277083844608,111631,
