,angDist,Name,SimbadName,HIP,B-V,VMAG,GSVal,log(R'HK),Per,l_log(Age),log(Age),Svalues,_RA,_DE,recno,TIC,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,HIP_1,TYC,UCAC4,2MASS,objID,WISEA,GAIA,APASS,KIC,S/G,Ref,r_Pos,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,Plx,e_Plx,r_Plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,q_2MASS,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Gmag,e_Gmag,Tmag,e_Tmag,f_Tmag,Flag,Teff,s_Teff,logg,s_logg,[M/H],e_[M/H],Rad,s_Rad,Mass,s_Mass,rho,s_rho,LClass,Lum,s_Lum,Dist,s_Dist,E(B-V),s_E(B-V),Ncont,Rcont,Disp,m_TIC,Prior,e_E(B-V),E_E(B-V),f_E(B-V),e_Mass,E_Mass,e_Rad,E_Rad,e_rho,E_rho,e_logg,E_logg,e_Lum,E_Lum,e_Dist,E_Dist,r_Dist,e_Teff,E_Teff,r_Teff,BPmag,e_BPmag,RPmag,e_RPmag,q_Gaia,r_Vmag,r_Bmag,Clist,e_RAJ2000,e_DEJ2000,RAOdeg,DEOdeg,e_RAOdeg,e_DEOdeg,RadFl,WDFl,ID
34,0.05395,166435,HIP 88945,88945,0.633,4.83,0.45,-4.27,3.0,,7.27,Svalues,272.3391,29.9517,917,180762527,272.33909079473,29.95171268734,272.339,29.952,90,88945,2104-00377-1,600-062186,18092137+2957059,,J180921.44+295706.8,4590489981163831296,47944970,,STAR,tmgaia2,tmgaia2,71.716,0.038,61.183,0.043,gaia2,40.9514,0.0243,gaia2,7.609,0.06,6.843,0.023,,,,,,,,,,,5.689,0.018,5.389,0.018,5.32,0.027,AAA-111-111-000-0-0,5.316,0.183,5.124,0.081,5.308,0.016,5.227,0.036,6.65158,0.000549,6.227,0.006,gbprp,spect,5815.3,111.5,4.4872,0.0695,0.0383,0.0287,0.968,0.042,1.05,0.129,1.1564,0.2213,DWARF,0.96608,0.0254,24.4019,0.0146,0.0,0.0,266,0.0035,,,0.010218,0.0,0.0,,0.172,0.086,0.047,0.038,0.1927,0.2499,0.0685,0.0705,0.02367,0.02712,0.0146,0.0146,bj2018,128.5,94.5,spect,6.99723,0.001928,6.18791,0.003503,1,sirful,apassdr9,,0.60293286736,0.6615795704,272.33944716818,29.95197611677,0.01768195243,0.0213123388,1,0,185898450
35,0.083947,166620,HIP 88972,88972,0.876,6.15,0.186,-4.97,44.0,,9.7,Svalues,272.4059,38.4578,918,75946144,272.40590122178,38.45777670113,272.404,38.456,90,88972,3102-01975-1,,18093745+3827288,,,4610177733290768896,,,STAR,tmgaia2,tmgaia2,-316.52,0.032,-468.214,0.04,gaia2,90.1264,0.02,gaia2,7.28,0.02,6.394,0.023,,,,,,,,,,,4.952,0.278,4.458,0.192,4.232,0.021,DCA-331-111-000-0-0,,,,,,,,,6.11918,0.000466,5.56,0.006,gbprp,spect,4970.0,103.0,4.5321,0.0776,-0.1,0.1,0.813,0.044,0.82,0.096,1.5278,0.3377,DWARF,0.36303,0.00908,11.092,0.0025,0.0,0.0,180,0.0036,,,0.015534,0.0,0.0,,0.078,0.115,0.042,0.045,0.3001,0.3752,0.0653,0.09,0.00942,0.00875,0.0025,0.0024,bj2018,115.3,90.8,spect,6.60792,0.002502,5.51768,0.001472,1,sirful,tycho2b3,,0.53249535298,0.6204893449,272.40416089179,38.4557607926,0.01531160553,0.01988914451,1,0,186099554
36,0.17671,,HIP 89215,89215,0.755,6.52,0.175,-4.96,35.0,,9.68,Svalues,273.0912,5.4012,919,264322667,273.09115661876,5.40122332791,273.089,5.398,90,89215,0439-00972-1,478-077798,18122185+0524041,,,4471568143540690944,38265332,,STAR,tmgaia2,tmgaia2,-499.72,0.095,-646.862,0.098,gaia2,15.5973,0.1221,gaia2,11.082,0.043,10.37,0.03,,,,,,,,,,,8.854,0.037,8.45,0.042,8.341,0.036,AAA-111-111-000-0-0,,,,,,,,,10.1235,0.000514,9.61,0.006,gbprp,spect,5049.3,144.5,4.6566,0.0965,-1.1566,0.0236,0.713,0.051,0.84,0.105,2.3208,0.6518,DWARF,0.29743,0.01027,64.0023,0.5039,0.0,0.0,1069,0.0244,,,0.004492,0.0,0.0,,0.062,0.148,0.034,0.067,0.7488,0.5547,0.1137,0.0793,0.00862,0.01192,0.5,0.5078,bj2018,153.7,135.3,spect,10.5522,0.001143,9.5599,0.000812,1,hipvmag,apassdr9,,1.47278103104,1.52518811624,273.08899545084,5.39843823143,0.04683835918,0.10521880901,1,0,187471290
37,0.045092,167215,HIP 89270,89270,0.578,3.6,0.139,-5.12,19.0,,9.93,Svalues,273.2475,28.2576,920,313993524,273.2475139022,28.25760263347,273.247,28.258,90,89270,2104-01114-1,592-062621,18125939+2815273,,J181259.39+281528.4,4589331164627790336,,,STAR,tmgaia2,tmgaia2,-4.278,0.042,111.705,0.05,gaia2,12.2009,0.0316,gaia2,8.626,0.027,8.08,0.03,,,,,,,,,,,6.983,0.026,6.712,0.063,6.692,0.023,AAA-111-111-000-0-0,6.658,0.076,6.643,0.021,6.679,0.016,6.564,0.061,7.94407,0.000289,7.558,0.006,gbprp,spect,6044.8,134.7,4.0536,0.0844,-0.3,0.03,1.648,0.082,1.12,0.151,0.2504,0.0582,DWARF,3.2654,0.10039,81.7678,0.2128,0.0,0.0,300,0.3483,,,0.003356,0.0,0.0,,0.122,0.181,0.08,0.083,0.0553,0.0611,0.0831,0.0856,0.09864,0.10213,0.2122,0.2133,bj2018,117.5,151.8,spect,8.25111,0.001467,7.51811,0.001293,1,hipvmag,tycho2b3,,0.66504490126,0.77623864089,273.24749299315,28.25808358556,0.01995988168,0.02740146538,1,0,187955014
38,0.106782,167216,HIP 89275,89275,0.529,3.7,0.143,-5.05,12.0,,9.83,Svalues,273.2596,28.2466,921,313993494,273.25961397432,28.24662698667,273.26,28.247,90,89275,2104-01758-1,592-062629,18130230+2814478,,J181302.30+281448.9,4589330954171828736,,,STAR,tmgaia2,tmgaia2,-3.819,0.043,110.446,0.05,gaia2,12.2116,0.0322,gaia2,8.755,0.026,8.23,0.03,,,,,,,,,,,7.132,0.023,6.876,0.075,6.825,0.021,AAA-111-111-000-0-0,6.807,0.056,6.814,0.02,6.838,0.017,6.826,0.09,8.08175,0.00028,7.699,0.006,gbprp,spect,6057.3,107.2,4.1168,0.0754,,,1.539,0.061,1.13,0.153,0.3102,0.0607,DWARF,2.87149,0.08876,81.6965,0.2167,0.0,0.0,297,0.4112,,,0.003532,0.0,0.0,,0.116,0.191,0.076,0.047,0.0559,0.0655,0.0717,0.0791,0.09861,0.07891,0.2162,0.2173,bj2018,72.5,141.9,spect,8.38555,0.001259,7.6596,0.001996,1,hipvmag,tycho2b3,,0.68971007617,0.77549328518,273.25959530852,28.24710251807,0.01988967418,0.02704070809,1,0,187955002
39,0.130041,167389,HIP 89282,89282,0.649,4.76,0.214,-4.75,18.0,,9.35,Svalues,273.2801,41.4754,922,76136632,273.28010714192,41.4753642761,273.28,41.475,90,89282,3111-01983-1,658-065158,18130721+4128315,,J181307.27+412830.1,2113056534482408448,,,STAR,tmgaia2,tmgaia2,50.734,0.049,-129.002,0.048,gaia2,28.8004,0.024,gaia2,7.993,0.022,7.38,0.03,,,,,,,,,,,6.224,0.026,5.968,0.018,5.918,0.018,AAA-111-111-000-0-0,5.943,0.115,5.822,0.049,5.924,0.015,5.87,0.04,7.22804,0.000243,6.817,0.006,gbprp,spect,5887.4,120.6,4.4435,0.0775,0.02,0.03,1.028,0.047,1.07,0.138,0.9851,0.2079,DWARF,1.1437,0.03259,34.6868,0.0291,0.0,0.0,162,0.0011,,,0.010314,0.0,0.0,,0.141,0.136,0.037,0.058,0.2016,0.2143,0.0825,0.0725,0.02996,0.03522,0.029,0.0291,bj2018,162.9,78.3,spect,7.56345,0.001327,6.78115,0.002276,1,hipvmag,tycho2b3,,0.80526289431,0.75056536904,273.28039868672,41.47480885118,0.02228262844,0.02546233336,1,0,187930592
40,0.108394,168009,HIP 89474,89474,0.641,4.52,0.147,-5.08,26.0,,9.87,Svalues,273.8853,45.2093,923,416117806,273.88526440829,45.2093166678,273.885,45.209,90,89474,3525-00186-1,677-061832,18153245+4512333,,J181532.37+451232.3,2115351387048328704,,,STAR,tmgaia2,tmgaia2,-77.331,0.04,-114.69,0.042,gaia2,42.8836,0.0215,gaia2,6.93,0.123,6.295,0.006,,,,,,,,,,,5.12,0.037,4.836,0.023,4.756,0.021,EAA-111-111-00d-0-0,4.792,0.216,4.599,0.091,4.795,0.015,4.742,0.029,6.14052,0.000482,5.715,0.006,gbprp,spect,5808.0,100.7,4.3161,0.0689,0.03,0.1,1.174,0.048,1.04,0.127,0.6434,0.1191,DWARF,1.41196,0.03869,23.3032,0.0118,0.0,0.0,144,0.0006,,,0.010205,0.0,0.0,,0.096,0.158,0.049,0.047,0.1109,0.1274,0.0701,0.0677,0.03424,0.04313,0.0118,0.0118,bj2018,90.0,111.4,spect,6.48455,0.001514,5.67511,0.002258,1,mermil,mermil,,0.67481327145,0.65076922403,273.88479181147,45.2088228646,0.01837631427,0.02158967385,1,0,189431668
41,0.199305,167665,HIP 89620,89620,0.536,4.0,0.152,-4.99,12.0,,9.73,Svalues,274.349,-28.289,924,379558372,274.34899362198,-28.28894492303,274.35,-28.29,90,89620,6856-00081-1,309-198196,18172374-2817203,,J181723.84-281721.8,4052127925286198272,,,STAR,tmgaia2,tmgaia2,133.482,0.101,-152.885,0.083,gaia2,32.0147,0.0594,gaia2,6.867,0.023,6.36,0.03,,,,,,,,,,,5.394,0.018,5.155,0.033,5.038,0.017,AAA-111-111-000-0-0,5.05,0.214,4.898,0.09,5.094,0.014,5.012,0.034,6.22805,0.000695,5.858,0.006,gbprp,spect,6108.0,100.2,4.2342,0.0728,-0.1,0.1,1.356,0.05,1.15,0.154,0.4611,0.0892,DWARF,2.30622,0.07269,31.2076,0.0582,0.0,0.0,9541,0.0579,,,0.0,0.0,0.0,,0.146,0.162,0.056,0.045,0.0826,0.0958,0.079,0.0666,0.09084,0.05454,0.0581,0.0584,bj2018,120.2,80.2,spect,6.5213,0.002446,5.81952,0.003224,1,hipvmag,tycho2b3,,1.62058129023,1.28584117903,274.3496462844,-28.28960317944,0.05513521151,0.04798942811,1,0,1471570933
42,0.180159,168603,HIP 89771,89771,0.771,5.45,0.373,-4.49,13.0,,8.9,Svalues,274.7868,33.2313,925,23228849,274.78675259271,33.23126947232,274.787,33.232,90,89771,2627-01333-1,617-060242,18190882+3313522,,J181908.82+331354.0,4592816852706650112,,,STAR,tmgaia2,tmgaia2,4.761,0.056,137.517,0.072,gaia2,27.0791,0.0313,gaia2,9.048,0.023,8.28,0.03,,,,,,,,,,,6.888,0.018,6.578,0.036,6.47,0.021,AAA-111-111-000-0-0,6.462,0.081,6.433,0.023,6.46,0.016,6.437,0.052,8.05687,0.000788,7.565,0.006,gbprp,spect,5422.0,144.2,4.5063,0.0924,0.13,0.1,0.896,0.056,0.94,0.126,1.3054,0.3425,DWARF,0.62554,0.01498,36.8895,0.0428,0.0,0.0,237,0.0016,,,0.009519,0.0,0.0,,0.149,0.102,0.059,0.053,0.2884,0.3966,0.0822,0.1027,0.01378,0.01619,0.0428,0.0429,bj2018,146.3,142.0,spect,8.4755,0.001842,7.53015,0.002145,1,hipvmag,tycho2b3,,0.90711081783,1.10917293401,274.78677710091,33.23186155941,0.02442145465,0.03203056878,1,0,191689087
43,0.098594,168443,HIP 89844,89844,0.724,4.03,0.143,-5.12,38.0,,9.93,Svalues,275.0164,-9.5957,926,16465196,275.01638823495,-9.59572480908,275.016,-9.597,90,89844,5681-01576-1,403-079998,18200394-0935446,,J182003.87-093546.9,4157584215800708608,,,STAR,tmgaia2,tmgaia2,-91.685,0.089,-224.285,0.077,gaia2,25.2084,0.0772,gaia2,7.652,0.023,6.921,0.023,,,,,,,,,,,5.641,0.019,5.325,0.016,5.211,0.015,AAA-111-111-000-0-0,5.153,0.169,5.075,0.071,5.23,0.017,5.169,0.031,6.73166,0.000327,6.267,0.006,gbprp,spect,5551.0,104.0,3.979,0.0735,0.06,0.1,1.679,0.073,0.98,0.119,0.2069,0.0409,DWARF,2.41248,0.05561,39.6245,0.1221,0.0,0.0,4415,0.0292,,,0.000337,0.0,0.0,,0.089,0.149,0.075,0.071,0.0471,0.0348,0.0714,0.0757,0.05357,0.05765,0.1217,0.1224,bj2018,90.4,117.6,spect,7.12612,0.002361,6.23719,0.004138,1,sirful,tycho2b3,,1.38701201092,1.19550250078,275.01598787674,-9.59669048084,0.04612796368,0.0585304265,1,0,1483520308
44,0.10075,168723,HIP 89962,89962,0.941,1.84,0.118,,,,,Svalues,275.3275,-2.8988,927,168775356,275.32749821045,-2.89882792887,275.325,-2.902,90,89962,5102-00416-1,436-076032,18211862-0253554,,,4269932382606282240,,,STAR,tmgaia2,tmgaia2,-548.0,8.0,-701.0,8.0,sblink,52.81,0.75,hip,4.181,0.018,3.242,0.023,,,,,,,,,,,1.49,0.298,1.037,0.304,1.05,0.316,DDD-333-111-000-0-0,,,,,,,,,3.00381,0.009718,2.361,1.485,gbprp,spec7,4847.8,6.7,,,-0.1755,0.0134,,,,,,,GIANT,,,18.9358,0.2689,,,,,,,,,,,,,,,,,,,,,,,hip,,,spect,3.46053,3.46054,2.1833,0.020428,0,sirful,tycho2b3,,124.04139667165,124.00124726546,275.32513574302,-2.90184612572,0.59626862993,0.55616849037,0,0,1489032824
45,0.120239,168746,HIP 90004,90004,0.713,4.78,0.155,-5.05,34.0,,9.82,Svalues,275.4574,-11.9227,928,18097734,275.45742849551,-11.92268160976,275.457,-11.923,90,90004,5685-02670-1,391-089030,18214978-1155215,,J182149.77-115522.2,4153637759337630720,6698806,,STAR,tmgaia2,tmgaia2,-23.099,0.093,-68.299,0.086,gaia2,24.0282,0.0573,gaia2,8.664,0.027,7.95,0.03,,,,,,,,,,,6.679,0.034,6.329,0.029,6.253,0.024,AAA-111-111-000-0-0,5.766,0.069,6.213,0.024,6.256,0.022,5.632,0.063,7.77169,0.000427,7.316,0.006,gbprp,spect,5571.3,150.0,4.3606,0.0879,-0.0958,0.006,1.082,0.066,0.98,0.124,0.773,0.1937,DWARF,1.01682,0.02475,41.5681,0.0997,0.0,0.0,3092,0.0217,,,0.00055,0.0,0.0,,0.08,0.168,0.071,0.06,0.1677,0.2197,0.0866,0.0892,0.02399,0.02551,0.0995,0.1,bj2018,141.2,158.8,spect,8.14974,0.002436,7.27792,0.003038,1,hipvmag,tycho2b3,,1.45002863885,1.33091284496,275.45732685001,-11.92297567578,0.05034947514,0.04606398333,1,0,1490531769
46,0.121776,169822,HIP 90355,90355,0.699,5.67,0.169,-4.96,30.0,,9.69,Svalues,276.542,8.7776,929,25932480,276.54202366266,8.77757555912,276.541,8.776,90,90355,1023-01384-1,494-083652,18261008+0846395,,,4478529529619894272,38526778,,STAR,tmgaia2,tmgaia2,-199.27,2.0,-466.08,2.0,sblink,37.04,1.7,hip,8.478,0.0,7.83,0.03,,,,,,,,,,,6.491,0.02,6.161,0.027,6.076,0.021,AAA-111-111-000-0-0,,,,,,,,,7.64004,0.000302,7.168,0.006,gbprp,spec7,5557.8,,,,-0.1279,0.0257,0.981,,,,,,DWARF,,,26.9978,,,,1433,0.0193,,,0.000714,,,,,,,,,,,,,,,,hip,,,spect,8.03203,0.001959,7.12622,0.002361,0,hipvmag,apassdr9,,31.09869796739,31.00731005809,276.54115552715,8.77556882676,0.68498355011,0.67325852301,1,0,197071233
47,0.110193,169889,HIP 90365,90365,0.764,5.42,0.172,-4.97,37.0,,9.7,Svalues,276.5914,8.6158,930,25933136,276.59140735091,8.6157702661,276.591,8.614,90,90365,1023-01942-1,494-083744,18262194+0836570,,,4478524169500495872,38526920,,STAR,tmgaia2,tmgaia2,-194.96,0.092,-470.941,0.096,gaia2,28.2972,0.0658,gaia2,9.028,0.0,8.32,0.03,,,,,,,,,,,6.906,0.023,6.56,0.017,6.486,0.017,AAA-111-111-000-0-0,,,,,,,,,8.09831,0.000516,7.604,0.006,gbprp,spect,5357.0,105.1,4.5318,0.0733,-0.12,0.1,0.866,0.04,0.93,0.113,1.4335,0.2851,DWARF,0.55604,0.01159,35.3034,0.0827,0.0,0.0,1453,0.0172,,,0.000783,0.0,0.0,,0.074,0.153,0.031,0.05,0.3702,0.2001,0.0898,0.0567,0.01261,0.01058,0.0825,0.0829,bj2018,127.3,83.0,spect,8.51434,0.00184,7.56409,0.003049,1,hipvmag,apassdr9,,1.42870466164,1.48822259663,276.59055835911,8.61374260445,0.04842217442,0.05511308303,1,0,196835494
48,0.139084,169830,HIP 90485,90485,0.517,3.1,0.14,-5.07,11.0,,9.86,Svalues,276.9562,-29.8169,931,53134037,276.95618833682,-29.81686271425,276.956,-29.817,90,90485,6869-01277-1,301-231900,18274949-2949007,,J182749.41-294900.6,4048037707717867008,,,STAR,tmgaia2,tmgaia2,-0.489,0.158,16.453,0.126,gaia2,26.5642,0.1037,gaia2,6.407,0.022,5.9,0.03,,,,,,,,,,,4.974,0.018,4.778,0.023,4.688,0.024,AAA-111-111-00d-0-0,4.648,0.193,4.437,0.121,4.632,0.014,4.644,0.028,5.77641,0.0014,5.415,0.006,gbprp,spect,6164.0,109.9,3.9157,0.0785,0.18,0.1,1.974,0.081,1.17,0.158,0.1522,0.0319,DWARF,5.06667,0.16336,37.6048,0.1479,0.0,0.0,6725,0.0399,,,0.000278,0.0,0.0,,0.113,0.203,0.085,0.077,0.0243,0.0396,0.0689,0.0881,0.19175,0.13498,0.1473,0.1484,bj2018,94.4,125.3,spect,6.05648,0.006695,5.37165,0.00309,1,hipvmag,tycho2b3,,2.537496122,1.95288591919,276.9561859111,-29.81679187581,0.07951866963,0.08684413196,1,0,1518595702
49,0.102049,170174,SAO 123515,,1.08,,0.096,,,,,Svalues,276.9781,6.6001,932,319710216,276.97807185242,6.60009533908,276.978,6.6,90,,0445-01625-1,484-081433,18275474+0636003,,J182754.74+063600.3,4477223378527434752,38270755,,STAR,tmgaia2,tmgaia2,1.356,0.093,-2.024,0.081,gaia2,2.4716,0.0471,gaia2,9.403,0.024,8.307,0.002,,,,,,,,,,,6.33,0.02,5.827,0.034,5.674,0.018,AAA-111-111-000-0-0,5.624,0.155,5.563,0.052,5.626,0.015,5.59,0.034,7.97837,0.000467,7.311,0.012,rered,spect,5109.1,19.4,,,0.25,0.0252,14.366,,,,,,GIANT,,,400.149,7.607,0.1692,,,,,,,,,panstarrs,,,,,,,,,,,,,bj2018,,,spect,8.57653,0.002033,7.27253,0.002644,1,tycho2v3,tycho2b3,,1.44926653069,1.25476562832,276.97807772945,6.6000866255,0.04604316698,0.04514869891,0,0,198337812
50,0.069356,170778,HIP 90586,90586,0.619,4.66,0.308,-4.48,7.0,,8.89,Svalues,277.2664,43.9393,933,357793687,277.26638320567,43.93928500267,277.267,43.94,90,90586,3116-00346-1,670-067158,18290394+4356215,,J182904.00+435623.0,2112083741570228224,,,STAR,tmgaia2,tmgaia2,73.205,0.068,154.218,0.066,gaia2,27.1444,0.0285,gaia2,8.099,0.024,7.49,0.03,,,,,,,,,,,6.407,0.034,6.125,0.049,6.05,0.017,AAA-111-111-000-0-0,6.055,0.104,5.969,0.041,6.051,0.016,5.994,0.04,7.33409,0.000463,6.927,0.006,gbprp,spect,5917.1,103.7,4.4477,0.0694,0.0,0.03,1.028,0.042,1.08,0.135,0.9949,0.1858,DWARF,1.16648,0.03297,36.8007,0.0389,0.0,0.0,158,0.0181,,,0.010582,0.0,0.0,,0.101,0.169,0.046,0.038,0.2071,0.1644,0.0819,0.0569,0.03935,0.0266,0.0389,0.039,bj2018,56.6,150.9,spect,7.66493,0.001937,6.89218,0.002468,1,hipvmag,tycho2b3,,1.12979295701,1.01723507417,277.26682092175,43.93994899767,0.03139692547,0.03325041275,1,0,199263713
51,0.158055,170469,HIP 90593,90593,0.677,4.15,0.147,-5.09,31.0,,9.88,Svalues,277.2958,11.6955,934,320362897,277.2957551671,11.69549957894,277.296,11.695,90,90593,1031-01530-1,509-078776,18291097+1141437,,J182910.95+114143.6,4484013343859055616,40626320,,STAR,tmgaia2,tmgaia2,-48.418,0.07,-17.47,0.079,gaia2,16.5886,0.0408,gaia2,8.833,0.065,8.21,0.03,,,,,,,,,,,7.047,0.02,6.779,0.034,6.707,0.018,AAA-111-111-000-0-0,6.675,0.07,6.68,0.021,6.696,0.016,6.554,0.061,8.04953,0.000392,7.615,0.006,gbprp,spect,5761.0,106.7,4.2361,0.0688,0.28,0.1,1.281,0.055,1.03,0.125,0.4905,0.0913,DWARF,1.62728,0.04232,60.178,0.1488,0.0,0.0,1202,0.0244,,,0.004408,0.0,0.0,,0.107,0.143,0.058,0.052,0.0731,0.1095,0.0762,0.0613,0.04592,0.03871,0.1484,0.1491,bj2018,100.6,112.8,spect,8.40878,0.002502,7.58058,0.002926,1,hipvmag,apassdr9,,1.09193235442,1.22847025957,277.29554228269,11.69542436139,0.03536046986,0.0394831358,1,0,199142219
52,0.128135,170493,HIP 90656,90656,1.074,6.67,0.431,,,,,Svalues,277.4684,-1.8181,935,133556737,277.46836447866,-1.81810252247,277.469,-1.819,90,90656,5099-00450-1,441-079563,18295239-0149050,,J182952.54-014906.9,4270446404294208000,927463,,STAR,tmgaia2,tmgaia2,172.079,0.107,-193.48,0.089,gaia2,53.2422,0.07,gaia2,9.123,0.0,8.04,0.03,,,,,,,,,,,6.069,0.02,5.643,0.046,5.484,0.02,AAA-111-111-000-0-0,5.444,0.18,5.371,0.05,5.49,0.016,5.475,0.047,7.67217,0.000634,7.021,0.006,gbprp,spect,4748.9,115.2,4.559,0.09,0.3009,0.0246,0.758,0.05,0.76,0.094,1.7417,0.4571,DWARF,0.2636,0.00908,18.7719,0.0248,0.0,0.0,199,0.0054,,,0.00103,0.0,0.0,,0.068,0.12,0.044,0.055,0.4419,0.4723,0.084,0.096,0.00828,0.00989,0.0248,0.0249,bj2018,128.1,102.3,spect,8.27543,0.002483,6.97927,0.001423,1,hipvmag,apassdr9,,1.65732180459,1.38469491396,277.46910574753,-1.81893556152,0.05292051135,0.05908171521,1,0,1527149894
53,0.222526,170829,HIP 90729,90729,0.795,3.72,0.136,-5.17,47.0,,10.0,Svalues,277.6735,20.815,936,235666667,277.67354302637,20.81504693945,277.674,20.814,90,90729,1581-02329-1,555-070352,18304166+2048544,,J183041.65+204851.4,4525943082344640512,,,STAR,tmgaia2,tmgaia2,16.702,0.042,-264.706,0.06,gaia2,28.3362,0.0312,gaia2,7.282,0.02,6.495,0.023,,,,,,,,,,,5.113,0.034,4.681,0.036,4.634,0.02,EEA-111-111-000-0-0,4.661,0.229,4.458,0.124,4.661,0.015,4.618,0.028,6.28135,0.000298,5.785,0.006,gbprp,spect,5412.4,105.3,3.832,0.0726,0.1156,0.024,1.948,0.089,0.94,0.121,0.1271,0.026,DWARF,2.9342,0.06135,35.2545,0.0391,0.0,0.0,633,0.0025,,,0.003304,0.0,0.0,,0.095,0.147,0.086,0.093,0.0237,0.0283,0.0843,0.0609,0.05572,0.06697,0.039,0.0392,bj2018,105.7,104.9,spect,6.69461,0.001121,5.74025,0.002262,1,sirful,tycho2b3,,0.66726871436,0.92394621741,277.67361995896,20.81390723308,0.01999251501,0.02853426243,1,0,200660084
54,0.055348,170657,HIP 90790,90790,0.861,6.21,0.32,-4.65,26.0,,9.21,Svalues,277.829,-18.9088,937,186271747,277.8290050862,-18.90881460196,277.828,-18.91,90,90790,6274-01576-1,356-148261,18311897-1854314,,J183118.86-185433.7,4093301474693288960,9468325,,STAR,tmgaia2,tmgaia2,-138.402,0.08,-195.274,0.068,gaia2,75.9773,0.0458,gaia2,7.678,0.022,6.81,0.03,,,,,,,,,,,5.286,0.024,4.87,0.067,4.704,0.016,EEA-111-111-000-0-0,4.669,0.262,4.474,0.115,4.73,0.014,4.708,0.027,6.54749,0.000355,5.989,0.006,gbprp,spect,5040.0,148.2,4.5963,0.0983,-0.14,0.1,0.764,0.056,0.84,0.104,1.8843,0.55,DWARF,0.33924,0.01088,13.1568,0.008,0.0,0.0,6302,0.0227,,,0.0,0.0,0.0,,0.082,0.126,0.043,0.069,0.5323,0.5678,0.0968,0.0998,0.01039,0.01136,0.008,0.008,bj2018,186.0,110.4,spect,7.03591,0.005355,5.94873,0.008729,1,hipvmag,tycho2b3,,1.25557218485,1.0615926136,277.82837519705,-18.90965536609,0.04091796931,0.04016835018,1,0,1533442488
55,0.129139,171067,HIP 90864,90864,0.692,5.2,0.176,-4.92,28.0,,9.62,Svalues,278.0436,13.7366,938,50226706,278.04360193603,13.73656417738,278.044,13.737,90,90864,1036-00812-1,519-077614,18321046+1344113,,J183210.54+134413.3,4508601275714721280,40896592,,STAR,tmgaia2,tmgaia2,112.414,0.062,122.644,0.073,gaia2,38.2327,0.0387,gaia2,7.892,0.023,7.197,0.023,,,,,,,,,,,5.897,0.024,5.626,0.023,5.557,0.021,AAA-111-111-000-0-0,5.621,0.148,5.437,0.047,5.565,0.014,5.518,0.036,7.02115,0.00023,6.573,0.006,gbprp,spect,5669.5,154.3,4.5101,0.0882,-0.0204,0.0142,0.925,0.058,1.01,0.129,1.2759,0.3239,DWARF,0.79655,0.02093,26.1359,0.0266,0.0,0.0,1088,0.005,,,0.008833,0.0,0.0,,0.094,0.164,0.055,0.061,0.2403,0.4075,0.0712,0.1052,0.03172,0.01013,0.0266,0.0266,bj2018,136.9,171.6,spect,7.39262,0.001515,6.53578,0.001646,1,sirful,tycho2b3,,0.96129235138,1.13708309007,278.04410019198,13.73709222844,0.0287587352,0.03673804253,1,0,201881547
56,0.168134,171314,HIP 90959,90959,1.181,7.05,0.425,,,,,Svalues,278.324,22.3143,939,258666933,278.32400046336,22.31425329821,278.323,22.312,90,90959,1582-00522-1,562-070923,18331775+2218515,,,4535144998232287232,45186170,,STAR,tmgaia2,tmgaia2,-176.323,0.029,-472.598,0.06,gaia2,42.7481,0.0351,gaia2,10.009,0.201,8.9,0.03,,,,,,,,,,,6.817,0.027,6.283,0.021,6.158,0.017,AAA-111-111-000-0-0,,,,,,,,,8.49167,0.000239,7.806,0.006,gbprp,spect,4607.9,100.9,4.6064,0.0839,0.07,0.05,0.704,0.044,0.73,0.084,2.0932,0.512,DWARF,0.20124,0.00729,23.377,0.0193,0.0,0.0,649,0.0138,,,0.011279,0.0,0.0,,0.084,0.084,0.035,0.052,0.5201,0.5039,0.0838,0.0839,0.00628,0.00829,0.0193,0.0194,bj2018,113.2,88.6,spect,9.1375,0.000439,7.75791,0.000517,1,hipvmag,apassdr9,,0.45847525137,0.92626113188,278.32317984297,22.31221850335,0.01444765492,0.03100251849,1,0,203008395
