,star_name,gaiadr3,HD,logRhk
358,TIC 46907042,5739942011185493888,HD82558,-3.97
359,TIC 178170409,5052007684818274816,HD17970,-4.99
360,TIC 118572803,5164707970261890560,HD22049,-4.47
361,TIC 374859347,4758877919212831104,HD40307,-4.93
362,TIC 78189262,5410453732524556672,HD82516,-4.94
363,TIC 267399515,5341787994441794176,HD101930,-4.99
364,TIC 313392144,5856250378426143616,HD106275,-4.91
365,TIC 451366293,5904539176758763520,HD129642,-5.00
366,TIC 455350410,6100277947576330496,HD130930,-5.02
367,TIC 303655974,5914096303621755520,HD154577,-4.85
368,TIC 39554091,4199396753205879040,HD176986,-4.83
369,TIC 14420255,6874580149255288832,HD192031,-4.94
370,TIC 326096771,6847167606385195648,HD192310,-4.96
371,TIC 279314081,6567494213835357056,HD209742,-4.82
372,TIC 99837626,6830027182179257472,HD204941,-4.94
373,TIC 60175114,2937651222655480832,HD44573,-4.58
374,TIC 81200079,5519593520133411584,HD68607,-4.69
375,TIC 121025936,5107106033552702208,HD23356,-4.74
376,TIC 211344776,6025604409224636800,HD148303,-4.64
377,TIC 49644110,2436812303124645504,HD220339,-4.83
378,TIC 220022156,4743692151804240896,HD13808,-4.87
379,TIC 758285,5726135065724589056,HD65562,-4.95
380,TIC 370230471,6460163255986109056,HD203850,-4.78
381,TIC 349491678,4377160604838377600,HD160346,-4.80
382,TIC 257393898,2552925644460225152,HD4628,-4.92
383,TIC 36981205,6316161317608434944,HD136713,-4.79
384,TIC 407090552,5778418870846853888,HD137388,-4.90
385,TIC 379348964,6650273867313671296,HD174545,-4.93
386,TIC 396697266,4678605152248591488,HD27894,-4.92
387,TIC 270259954,2307132568850133376,HD224228,-4.41
388,TIC 24398701,2904830113367963264,HD35854,-4.81
389,TIC 332819192,2493069773336748928,HD13789,-4.50
390,TIC 200781244,4737533237421005952,HD21209A,-4.82
391,TIC 24972344,5630532113072532736,HD82342,-4.98
392,TIC 428673146,3494677900774838144,HD104067,-4.73
393,TIC 129383,6229442835525861120,HD130992,-4.80
394,TIC 133556737,4270446404294208000,HD170493,-4.92
395,TIC 398449624,6416143002299883904,HD187456,-4.90
396,TIC 251042502,2623505219992303104,HD215152,-4.89
397,TIC 277913391,6380214844952702848,HD222237,-4.92
398,TIC 278962915,19316224572460416,HD16160,-4.98
399,TIC 213041474,3211461469444773376,HD32147,-4.97
400,TIC 320847025,6449124395465377920,HD188559,-4.78
401,TIC 413356994,5866992641380992256,HD125072,-4.93
402,TIC 327857952,4706630501049679744,HD55,-4.81
403,TIC 279741379,4673947174316727040,HD21749,-4.74
404,TIC 270582021,6614285855300051840,HD213042,-4.84
405,TIC 49934962,3256334497479041024,HD24916,-4.58
406,TIC 129480666,6669657123437047424,HD192961,-4.84
407,TIC 255263370,5994771148252505216,HD142709,-4.94
408,TIC 142456308,4364527594192166400,HD154363,-4.96
409,TIC 50587969,3210731015768096000,HD36003,-4.90
410,TIC 231698181,6412595290592307840,HD209100,-4.74
411,TIC 35055332,5412947081295024896,HD85512,-4.95
412,TIC 167756732,4819591920506512768,HD35650,-4.43
