,Star,Nobs,Nnights,Tspan,snr-med,DateStart,DateEnd,Vmag,B-V,plx,SpType,Teff,Age,e_Age,SMWmed,SMWwmean,e_SMW,s_SMW,logRHKmed,logRHKwmean,e_logRHK,R5med,R5wmean,e_R5,s_R5,_RA,_DE,gaia_dr3_id
287,HD 204941,96,95,4312,95,b'2004-12-02T00:45:30.058',b'2016-09-22T04:47:31.303',8.453,0.879,34.794,b'K2',4997,10.142,8.332,0.2091,0.2072,0.0012,0.0142,-4.9219,-4.9275,0.0034,1.197,1.182,0.009,0.11,323.09796,-20.95742,6830027182179257344
288,HD 205536,36,34,4415,165,b'2003-10-28T01:34:22.329',b'2015-11-29T00:28:24.878',7.074,0.756,44.973,b'G8',5442,9.832,1.811,0.1648,0.1646,0.0007,0.002,-5.0362,-5.0377,0.0036,0.92,0.917,0.008,0.022,325.12406,-74.07428,6370513647703085056
289,HD 206163,1,1,1,123,b'2004-11-26T00:12:28.167',b'2004-11-26T00:12:28.167',8.352,0.753,24.913,b'G7',5519,2.471,1.726,0.3127,0.3127,0.001,0.0,-4.5923,-4.5923,0.002,2.557,2.557,0.012,0.0,325.56894,-57.61295,6458847862122637312
290,HD 206172,21,20,2209,87,b'2004-12-02T01:02:58.050',b'2012-11-25T23:59:33.857',8.551,0.676,22.137,b'G6',5608,7.928,1.538,0.1903,0.1889,0.001,0.005,-4.8745,-4.8806,0.0044,1.335,1.316,0.013,0.067,325.11566,-2.01758,2674471122993231360
291,HD 206630,6,3,2205,41,b'2007-07-31T07:16:38.939',b'2013-08-13T03:43:36.513',9.781,0.96,24.868,b'K3',4804,6.358,4.927,0.4006,0.3754,0.0035,0.0424,-4.6606,-4.6916,0.0041,2.185,2.034,0.021,0.253,326.2524,-52.46421,6462371109694672896
292,HD 207129,385,107,4418,190,b'2003-10-25T01:15:38.284',b'2015-11-29T01:13:58.802',5.577,0.603,64.264,b'G0',5937,2.013,0.589,0.1746,0.1755,0.0006,0.0052,-4.8898,-4.8853,0.003,1.289,1.302,0.009,0.081,327.06563,-47.30362,6564091190988411904
293,HD 207583,2,2,139,110,b'2004-07-18T07:23:06.975',b'2004-12-04T00:46:20.654',8.28,0.735,26.229,b'G7',5534,1.14,1.107,0.3806,0.3807,0.0012,0.001,-4.4643,-4.4642,0.0018,3.433,3.434,0.014,0.011,327.59626,-16.19653,6837559970700624896
294,HD 207699,8,3,288,44,b'2003-10-31T01:51:33.869',b'2013-08-13T04:21:49.139',9.464,1.001,26.537,b'K3',4874,4.92,4.639,0.3818,0.3792,0.0035,0.0133,-4.7323,-4.7354,0.0043,1.852,1.839,0.018,0.069,328.01314,-45.0075,6564897098651283456
295,HD 207700,38,22,5105,136,b'2003-10-24T00:54:57.425',b'2017-10-24T03:28:55.449',7.414,0.69,26.024,b'G5',5666,10.274,2.545,0.1652,0.1651,0.0007,0.0019,-5.0087,-5.0091,0.0043,0.98,0.979,0.01,0.025,328.68835,-73.43848,6358928609077405696
296,HD 207970,20,20,3660,137,b'2003-10-31T01:11:10.130',b'2013-11-07T01:24:15.669',7.813,0.731,26.115,b'G7',5556,10.15,2.084,0.1606,0.1609,0.0007,0.0022,-5.0519,-5.0503,0.0042,0.887,0.891,0.009,0.026,328.42422,-28.67061,6617815730006011904
297,HD 208272,30,28,527,109,b'2003-10-31T00:50:30.505',b'2005-04-10T09:05:27.776',8.473,0.847,30.724,b'K1',5199,5.425,4.242,0.4499,0.447,0.0016,0.0181,-4.4815,-4.4848,0.0018,3.3,3.275,0.014,0.154,328.92498,-29.70614,6617495364101129216
298,HD 208487,76,36,5060,146,b'2004-09-17T04:26:19.219',b'2018-07-26T08:47:24.938',7.46,0.564,22.121,b'F8',6146,1.256,0.787,0.1616,0.1617,0.0006,0.0031,-4.9235,-4.923,0.0038,1.193,1.194,0.01,0.052,329.3327,-37.76362,6586580842340695040
299,HD 208573,3,2,347,67,b'2003-12-18T01:12:30.620',b'2004-11-29T00:38:34.006',9.054,1.036,29.836,b'K3',4910,4.59,4.302,0.574,0.5843,0.0039,0.0106,-4.5931,-4.5851,0.003,2.552,2.599,0.018,0.049,329.45524,-29.11635,6617542093345361920
300,HD 208704,73,69,4846,177,b'2004-07-18T07:39:50.248',b'2017-10-24T04:15:28.325',7.173,0.645,29.052,b'G1',5826,8.379,1.706,0.1713,0.1714,0.0007,0.003,-4.9441,-4.9438,0.0037,1.137,1.138,0.01,0.044,329.60136,-12.66466,6840872971033892864
301,HD 208880,12,7,427,93,b'2005-05-11T10:27:33.860',b'2006-07-20T05:03:50.818',8.454,0.756,25.899,b'G8',5451,1.279,1.368,0.1862,0.1864,0.0011,0.0028,-4.9379,-4.9369,0.0046,1.154,1.156,0.012,0.03,329.78718,3.19777,2695552540468718592
302,HD 209262,2,2,1,112,b'2005-05-19T09:42:30.343',b'2005-05-20T10:09:47.387',7.999,0.687,20.213,b'G3',5736,6.747,1.42,0.1619,0.1613,0.0009,0.0009,-5.0263,-5.0297,0.0056,0.941,0.934,0.012,0.012,330.47551,4.77045,2696108034358916608
303,HD 209566,13,3,3809,61,b'2003-11-05T01:08:23.734',b'2015-11-27T01:31:23.975',8.568,0.754,20.29,b'G8',5500,7.876,2.072,0.1634,0.1609,0.0013,0.0065,-5.0431,-5.0566,0.007,0.905,0.878,0.015,0.071,331.27393,-35.18173,6587352489048146944
304,HD 209742,26,26,3610,95,b'2003-12-13T00:54:57.577',b'2013-10-31T00:49:32.077',8.437,0.859,33.336,b'K2',5054,10.456,5.004,0.2347,0.2343,0.0013,0.0195,-4.8413,-4.8424,0.0031,1.441,1.437,0.01,0.16,331.6929,-45.39244,6567494213835357184
305,HD 210277,41,28,4149,182,b'2004-07-31T06:11:45.118',b'2015-12-10T00:36:52.593',6.547,0.775,46.923,b'G8',5505,9.755,2.072,0.1526,0.1525,0.0006,0.0023,-5.1066,-5.1073,0.0035,0.782,0.781,0.006,0.024,332.37444,-7.54866,2619706544757415936
306,HD 210329,7,1,1,45,b'2004-08-12T06:00:17.267',b'2013-08-13T04:52:21.267',9.563,0.958,22.732,b'K3',4878,0.258,0.713,0.2267,0.2267,0.0023,0.0,-4.938,-4.938,0.0052,1.153,1.153,0.014,0.0,332.64758,-40.41178,6573174325264800768
307,HD 210507,5,2,34,40,b'2006-08-27T04:06:12.414',b'2013-08-13T05:23:47.229',9.646,0.95,20.447,b'K3',4894,6.771,5.168,0.5005,0.5015,0.0045,0.0068,-4.544,-4.543,0.0042,2.858,2.864,0.027,0.042,333.0706,-54.97797,6508969718149502976
308,HD 210573,12,2,918,42,b'2003-11-05T01:27:59.039',b'2013-09-21T04:53:31.198',9.728,1.006,22.844,b'K3',4918,4.498,4.584,0.2944,0.292,0.0031,0.0143,-4.8604,-4.8642,0.005,1.379,1.367,0.016,0.073,333.2005,-56.4198,6411926753162859520
309,HD 210752,47,35,4275,145,b'2003-11-04T01:52:29.241',b'2015-07-19T09:29:35.345',7.445,0.537,27.64,b'G0',5951,11.858,2.266,0.1734,0.1732,0.0007,0.0014,-4.8249,-4.8261,0.0038,1.497,1.492,0.013,0.025,333.18141,-6.46892,2619938606134863872
310,HD 210918,216,134,5108,231,b'2003-10-28T01:02:54.926',b'2017-10-22T00:55:05.274',6.232,0.649,45.35,b'G2',5755,10.106,1.866,0.1604,0.1606,0.0006,0.0014,-5.0118,-5.0101,0.0037,0.973,0.977,0.008,0.02,333.66106,-41.38166,6569895822110444544
311,HD 210975,26,13,1088,57,b'2003-11-01T00:52:08.996',b'2013-11-08T01:08:23.750',9.512,1.067,31.563,b'K3',4749,5.175,4.67,0.2718,0.2754,0.0024,0.0133,-4.9742,-4.9681,0.004,1.061,1.076,0.01,0.055,333.645,-32.30826,6612306455196348416
312,HD 211038,228,107,5023,195,b'2003-11-01T01:28:43.602',b'2017-08-02T04:38:35.460',6.549,0.89,24.85,b'K2',4974,11.445,0.819,0.1363,0.136,0.0006,0.0018,-5.1598,-5.1615,0.003,0.692,0.689,0.005,0.014,333.65925,-15.81853,2598935670597134336
