,Star,Nobs,Nnights,Tspan,snr-med,DateStart,DateEnd,Vmag,B-V,plx,SpType,Teff,Age,e_Age,SMWmed,SMWwmean,e_SMW,s_SMW,logRHKmed,logRHKwmean,e_logRHK,R5med,R5wmean,e_R5,s_R5,_RA,_DE,gaia_dr3_id
365,HD 222721,3,1,1,38,b'2006-08-28T05:57:55.696',b'2014-12-05T03:08:37.120',9.008,0.729,20.654,b'G9',5361,9.36,12.524,0.1658,0.1658,0.0018,0.0,-5.0228,-5.0228,0.0099,0.949,0.949,0.022,0.0,355.79132,-12.21894,2432640549850299904
366,HD 223121,27,22,3241,64,b'2003-12-17T00:40:52.373',b'2012-10-31T04:07:48.793',9.357,0.936,21.694,b'K2',4958,8.347,5.193,0.2651,0.2613,0.002,0.0241,-4.8375,-4.8449,0.0038,1.454,1.429,0.013,0.156,356.73249,-31.98181,2326210435622356992
367,HD 223171,260,131,5327,197,b'2003-10-25T03:27:38.058',b'2018-05-26T08:18:21.323',6.881,0.656,24.155,b'G1',5841,6.591,1.679,0.1585,0.1592,0.0006,0.0032,-5.0287,-5.0245,0.0042,0.936,0.945,0.009,0.044,356.83678,-48.27559,6524024506237593600
368,HD 223282,25,23,3270,86,b'2003-10-27T02:30:13.342',b'2012-10-09T04:07:00.409',8.641,0.763,27.092,b'G9',5328,12.286,4.031,0.2291,0.2278,0.0011,0.0069,-4.7937,-4.7973,0.0033,1.608,1.595,0.012,0.074,357.08885,-27.8975,2328303768321981952
369,HD 224228,35,15,2815,92,b'2009-09-18T06:09:16.810',b'2017-06-03T10:20:09.778',8.242,0.974,45.606,b'K2',4985,4.163,4.168,0.7316,0.7589,0.002,0.0362,-4.3989,-4.3822,0.0013,3.991,4.147,0.012,0.207,359.04447,-39.05234,2307132568850132992
370,HD 224393,25,23,3351,94,b'2003-10-27T02:50:52.077',b'2012-12-29T00:52:26.563',8.201,0.61,24.301,b'G2',5774,7.259,1.15,0.1849,0.1876,0.0009,0.0069,-4.8447,-4.832,0.0045,1.43,1.472,0.015,0.108,359.39769,-65.77556,6485226795340143616
371,HD 224432,3,2,2,34,b'2004-10-29T02:12:52.316',b'2016-07-15T10:25:29.280',9.964,0.998,20.867,b'K4',4724,6.854,5.375,0.5889,0.5881,0.0054,0.0105,-4.5296,-4.5302,0.0042,2.954,2.95,0.029,0.055,359.47989,-7.09267,2442278696981886976
372,HD 224619,33,30,4805,162,b'2003-10-27T03:11:06.241',b'2016-12-22T02:14:09.310',7.471,0.741,38.131,b'G8',5436,12.439,5.1,0.1729,0.1732,0.0007,0.0023,-4.9908,-4.9897,0.0035,1.021,1.024,0.008,0.027,359.86847,-20.03471,2341817487782612480
373,HD 224789,38,36,4766,102,b'2003-12-11T00:53:03.271',b'2016-12-28T01:59:26.954',8.266,0.862,34.085,b'K1',5185,4.38,3.902,0.5224,0.5226,0.0019,0.0206,-4.4233,-4.423,0.0018,3.773,3.776,0.016,0.168,0.168,-69.67597,4703237305087371264
374,HD 285252,4,4,3613,42,b'2004-12-24T04:22:25.833',b'2014-11-15T02:01:10.040',8.956,0.883,24.399,b'K2',5022,6.714,5.225,0.5631,0.5558,0.0042,0.0173,-4.4101,-4.4163,0.0036,3.89,3.834,0.032,0.132,58.77709,16.99848,43538293935879680
375,HD 290038,24,10,3688,45,b'2003-10-31T08:12:52.257',b'2017-11-13T07:08:38.197',9.511,0.922,21.561,b'K3',4914,7.266,5.216,0.3221,0.3088,0.0029,0.023,-4.7256,-4.7467,0.0045,1.881,1.792,0.019,0.155,77.9032,-1.85567,3214911358975410176
376,HD 297396,104,24,4629,41,b'2004-01-27T06:40:46.568',b'2018-03-26T02:53:06.684',10.213,1.12,21.589,b'K4',4622,5.12,4.78,0.4876,0.4672,0.0043,0.0416,-4.787,-4.8059,0.0039,1.633,1.563,0.015,0.142,139.20116,-49.30135,5325767388444756992
377,HD 299896,32,21,436,38,b'2004-01-27T06:32:20.571',b'2005-04-29T00:28:31.675',9.541,1.032,24.488,b'K3',4893,3.759,3.907,0.6563,0.6598,0.0076,0.0238,-4.527,-4.5246,0.0052,2.972,2.988,0.036,0.111,137.79192,-55.03152,5311011770618920960
378,HD 309701,8,2,733,37,b'2004-02-12T06:17:24.545',b'2013-04-29T03:53:04.596',9.904,0.983,23.701,b'K3',4814,5.112,4.628,0.4636,0.4628,0.0044,0.003,-4.6197,-4.6204,0.0044,2.401,2.396,0.024,0.017,145.20293,-62.89122,5250675107960233984
379,HD 326267,5,1,1,39,b'2005-04-27T08:50:56.609',b'2017-05-09T05:13:56.141',10.056,1.093,25.039,b'K4',4597,5.595,4.902,0.3852,0.3852,0.0041,0.0,-4.8519,-4.8519,0.0047,1.406,1.406,0.015,0.0,252.70414,-43.78687,5964441012608791552
380,HD 330075,48,13,2916,60,b'2004-02-12T09:12:27.078',b'2015-04-14T08:03:18.199',9.354,0.933,22.047,b'K2',4958,8.719,4.925,0.2032,0.2022,0.0015,0.021,-4.9751,-4.9777,0.0041,1.059,1.053,0.01,0.137,237.40706,-49.96352,5982775854377691136
